SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100025,0,Cash loans,M,N,Y,1,112000.0,897000.0,64910.0,855400.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,-24531,-9476,-9416,-2092,0.253,0.4013,0.638
100026,0,Cash loans,M,N,Y,0,34000.0,551500.0,33210.0,542100.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-21554,-536,-1665,-5916,0.1062,0.5144,0.2195
100027,0,Cash loans,F,Y,N,2,232000.0,1001500.0,68210.0,919300.0,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,-10916,-4425,-9595,-829,0.1572,0.2288,0.0701
100028,0,Revolving loans,F,N,Y,1,150000.0,68000.0,4750.0,65700.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-10004,-7108,-1865,-5390,0.5009,0.4957,0.9023
100029,0,Cash loans,M,Y,Y,0,114000.0,138500.0,6940.0,135200.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-11193,-8913,-765,-4370,0.2994,0.8428,0.2554
100030,0,Cash loans,F,N,N,0,81000.0,190000.0,14260.0,181800.0,Unaccompanied,State servant,Incomplete higher,Separated,With parents,-18873,-8926,-8256,-1934,0.0495,0.8249,0.6103
100031,0,Cash loans,M,N,Y,0,130000.0,654500.0,38220.0,606200.0,Unaccompanied,Working,Incomplete higher,Married,Rented apartment,-18563,-2093,-3449,-5542,0.4379,0.8934,0.7887
100032,0,Cash loans,F,N,Y,3,87000.0,1230500.0,59570.0,1161400.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10294,-2775,-2705,-5623,0.7114,0.4651,0.2923
100033,0,Cash loans,F,Y,Y,1,237000.0,1337500.0,99800.0,1277400.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-11833,-5961,-5765,-2700,0.8482,0.3959,0.6073
100034,1,Revolving loans,M,N,Y,1,143000.0,401000.0,22740.0,356100.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,-8800,-2440,-4974,-143,0.5602,0.6358,0.1114
100035,1,Cash loans,F,N,N,0,339000.0,880500.0,61650.0,855400.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,-9025,-9701,-195,-4930,0.6899,0.4018,0.9217
100036,0,Cash loans,M,N,Y,0,143000.0,1163000.0,72010.0,1154300.0,Family,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17057,-3916,-1383,-2804,0.3522,0.0494,0.0647
100037,0,Cash loans,M,Y,Y,1,66000.0,465000.0,25700.0,427700.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-21692,-9120,-2435,-1886,0.4765,0.6867,0.4219
100038,0,Cash loans,M,Y,N,0,311000.0,640000.0,46330.0,611300.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-14641,-2381,-1450,-6336,0.6958,0.2741,0.5146
100039,0,Cash loans,M,N,Y,0,147000.0,807500.0,51180.0,775600.0,Family,Working,Secondary / secondary special,Married,House / apartment,-24009,-7563,-8414,-2594,0.694,0.0561,0.7531
100040,0,Cash loans,F,Y,N,0,60000.0,241000.0,13410.0,228800.0,Unaccompanied,Commercial associate,Incomplete higher,Married,Municipal apartment,-11717,-5922,-7924,-783,0.4091,0.0294,0.1239
100041,0,Cash loans,M,N,N,2,172000.0,83000.0,3680.0,77400.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-17722,-8828,-7058,-6016,0.521,0.8855,0.4244
100042,0,Cash loans,F,N,Y,0,91000.0,267500.0,20280.0,262800.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-9966,-9694,-7316,-4273,0.8784,0.247,0.2917
100043,0,Cash loans,F,N,Y,0,304000.0,957000.0,39640.0,877900.0,Unaccompanied,Commercial associate,Lower secondary,Married,House / apartment,-16701,-9096,-5628,-2829,0.6041,0.431,0.3033
100044,0,Cash loans,F,N,N,0,116000.0,152000.0,11330.0,130600.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-23303,-6782,-441,-6461,0.614,0.9035,0.7421
100045,0,Cash loans,F,Y,Y,1,219000.0,321000.0,17460.0,313500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-14452,-9143,-9629,-2198,0.7475,0.4495,0.0151
100046,0,Cash loans,F,Y,Y,0,40000.0,536500.0,35180.0,510300.0,Family,Working,Secondary / secondary special,Married,House / apartment,-24525,-8197,-11379,-610,0.1183,0.0839,0.7141
100047,0,Cash loans,F,N,N,0,101000.0,158500.0,12190.0,154900.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-18928,-655,-2367,-3518,0.5015,0.5288,0.7718
100048,0,Cash loans,F,N,Y,0,638000.0,324000.0,14930.0,282100.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-12078,-8167,-4865,-540,0.9119,0.0929,0.8573
100049,0,Cash loans,M,Y,N,1,273000.0,1371000.0,85930.0,1171700.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-23469,-5441,-9074,-2197,0.35,0.0994,0.5993
100050,0,Cash loans,F,Y,Y,3,51000.0,73000.0,5150.0,72300.0,Family,Working,Secondary / secondary special,Married,House / apartment,-24968,-5143,-7159,-5468,0.2872,0.8104,0.3234
100051,1,Cash loans,M,N,Y,1,74000.0,995500.0,69990.0,868200.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-13639,-7500,-450,-2309,0.5751,0.2821,0.4116
100052,0,Cash loans,M,Y,Y,0,85000.0,604500.0,36890.0,587200.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-17379,-6129,-7039,-412,0.2179,0.6479,0.9216
100053,1,Cash loans,M,N,N,2,183000.0,1023500.0,66520.0,996400.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-20219,-6918,-5198,-5868,0.5326,0.4884,0.8383
100054,0,Revolving loans,F,N,N,0,237000.0,901500.0,63380.0,862100.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-21058,-2194,-8934,-1783,0.1563,0.219,0.4457
100055,0,Cash loans,M,Y,N,0,233000.0,370000.0,27250.0,321800.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-18653,-3578,-7286,-5377,0.555,0.4968,0.8965
100056,1,Cash loans,F,N,Y,0,132000.0,1277500.0,90030.0,1213800.0,"Spouse, partner",Working,Higher education,Married,House / apartment,-21456,-3030,-9736,-4587,0.5762,0.0749,0.7836
100057,0,Cash loans,M,N,Y,0,275000.0,761000.0,41220.0,748300.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-17571,-8545,-3350,-1727,0.4033,0.3364,0.857
100058,0,Cash loans,F,N,Y,1,111000.0,1242000.0,99200.0,1135000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-23539,-3620,-2829,-5727,0.3698,0.5015,0.652
100059,0,Cash loans,M,Y,Y,0,45000.0,635500.0,36470.0,579600.0,Family,Working,Secondary / secondary special,Widow,House / apartment,-14389,-158,-2613,-5215,0.2407,0.2247,0.8162
100060,0,Cash loans,M,Y,Y,0,150000.0,1477500.0,60550.0,1354000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-20314,-3802,-1915,-5096,0.3211,0.6306,0.8483
100061,0,Cash loans,F,N,Y,0,481000.0,1166000.0,63550.0,1005500.0,Unaccompanied,Working,Higher education,Married,House / apartment,-24637,-2707,-7212,-1427,0.4784,0.0587,0.0965
100062,0,Cash loans,F,N,Y,0,261000.0,1450500.0,65430.0,1427000.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,-13217,-5210,-9440,-3510,0.2428,0.4657,0.9173
100063,0,Cash loans,M,N,N,0,155000.0,793500.0,35590.0,777900.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-15561,-8556,-527,-6180,0.7459,0.6821,0.3236
100064,0,Cash loans,F,N,Y,0,181000.0,734000.0,37630.0,733800.0,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,-22650,-1807,-4819,-1637,0.6765,0.4141,0.4235
100065,0,Cash loans,M,N,N,0,425000.0,1144000.0,48200.0,1072800.0,Family,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16586,-2393,-7879,-4576,0.2631,0.8321,0.7544
100066,0,Cash loans,F,Y,Y,0,109000.0,1326000.0,89560.0,1276500.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,-13042,-2584,-8432,-179,0.1016,0.6043,0.635
100067,0,Cash loans,F,N,Y,0,85000.0,1448000.0,62210.0,1274800.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,-11553,-2835,-10334,-3396,0.0102,0.911,0.8495
100068,0,Cash loans,M,N,Y,1,592000.0,517000.0,24880.0,491200.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-24232,-3555,-8556,-4677,0.5709,0.2771,0.3865
100069,0,Cash loans,M,N,Y,0,324000.0,1207000.0,52770.0,1143600.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,-9139,-1037,-1208,-5525,0.2087,0.8925,0.3609
100070,1,Cash loans,M,N,Y,1,84000.0,351500.0,14950.0,346300.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,-21961,-977,-4120,-5588,0.0218,0.5804,0.0398
100071,0,Cash loans,F,Y,Y,2,118000.0,839000.0,42550.0,817700.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,-16550,-8838,-10557,-1642,0.3475,0.7105,0.445
100072,0,Cash loans,M,N,Y,1,105000.0,306500.0,19270.0,303700.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,-19043,-2562,-6476,-1294,0.9143,0.858,0.6906
100073,0,Cash loans,F,N,N,0,49000.0,550500.0,43260.0,539700.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,-18982,-4593,-2961,-6497,0.6585,0.5281,0.2931
100074,0,Cash loans,F,N,Y,0,500000.0,1400000.0,105030.0,1372400.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-20098,-6235,-4776,-1582,0.8163,0.8204,0.445
100075,0,Cash loans,M,N,N,3,103000.0,257500.0,19320.0,221300.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,-18451,-8081,-10339,-3536,0.1461,0.5192,0.2162
100076,0,Cash loans,F,N,Y,0,337000.0,965000.0,45400.0,942700.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-21498,-2315,-2417,-363,0.0789,0.5732,0.7364
100077,0,Cash loans,F,N,Y,0,56000.0,907500.0,45920.0,854100.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-16374,-5826,-1616,-2116,0.0208,0.4284,0.0669
100078,0,Cash loans,F,N,Y,0,144000.0,220500.0,9490.0,200000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-14903,-6047,-9227,-2355,0.9083,0.1469,0.6731
100079,0,Revolving loans,M,N,Y,0,29000.0,519500.0,36960.0,446000.0,Unaccompanied,Pensioner,Higher education,Single / not married,House / apartment,-13193,-8521,-8911,-4518,0.2922,0.5303,0.3662
100080,0,Cash loans,F,N,Y,2,242000.0,864000.0,36970.0,822200.0,Unaccompanied,Working,Secondary / secondary special,Separated,Rented apartment,-9453,-1527,-4682,-2561,0.4419,0.9288,0.0491
100081,0,Cash loans,M,N,Y,0,155000.0,317500.0,19770.0,285500.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,-12061,-6387,-9165,-6362,0.3809,0.75,0.8123
100082,0,Cash loans,F,Y,Y,0,172000.0,1210000.0,60400.0,1113400.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-10866,-1799,-6825,-3116,0.6966,0.7126,0.4685
100083,0,Cash loans,F,N,Y,0,33000.0,1459500.0,72590.0,1389800.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-23943,-2245,-1846,-6039,0.3014,0.6147,0.5734
100084,0,Revolving loans,M,N,Y,0,61000.0,357500.0,28470.0,352800.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,-17000,-8298,-1371,-6510,0.5133,0.337,0.6981
100085,0,Cash loans,F,N,Y,0,37000.0,317000.0,22280.0,308700.0,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,-9144,-7058,-1466,-5979,0.9458,0.1694,0.6258
100086,0,Cash loans,F,N,Y,0,76000.0,707000.0,51950.0,648700.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-14569,-4372,-8882,-6265,0.4274,0.2211,0.697
100087,0,Cash loans,F,Y,N,1,173000.0,1133000.0,71240.0,1029000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-19506,-9521,-87,-2542,0.5282,0.0159,0.7265
100088,0,Cash loans,F,N,N,0,150000.0,454500.0,34020.0,402700.0,Unaccompanied,Pensioner,Higher education,Civil marriage,With parents,-18743,-1923,-2512,-6720,0.4824,0.6431,0.5638
100089,0,Cash loans,M,Y,Y,1,167000.0,74000.0,4870.0,67000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,-8833,-4084,-8685,-4020,0.765,0.7732,0.3537
100090,0,Cash loans,F,N,N,0,145000.0,832500.0,64810.0,721500.0,Unaccompanied,Working,Higher education,Married,House / apartment,-12896,-8922,-1245,-883,0.2608,0.2628,0.2386
100091,0,Cash loans,M,N,N,0,73000.0,1437000.0,73650.0,1430800.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-16915,-8561,-6116,-1172,0.1702,0.0963,0.8587
100092,0,Revolving loans,F,Y,Y,0,67000.0,614500.0,39210.0,575200.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-13658,-3871,-9333,-1784,0.7188,0.3256,0.9217
100093,0,Cash loans,F,N,Y,0,47000.0,656500.0,44380.0,570600.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-8991,-600,-4231,-5595,0.4007,0.2845,0.3462
100094,0,Cash loans,M,N,N,1,309000.0,1455000.0,81070.0,1313700.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,-15819,-5706,-977,-4674,0.8689,0.4338,0.1156
100095,0,Cash loans,F,N,Y,1,169000.0,1055500.0,79360.0,983800.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,-8888,-8039,-10426,-6493,0.6155,0.2583,0.2192
100096,0,Cash loans,F,Y,N,0,56000.0,1091500.0,86440.0,1015000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,-23781,-5707,-8733,-3968,0.5405,0.3293,0.6404
100097,0,Cash loans,F,N,Y,0,54000.0,863500.0,51590.0,738600.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-12054,-2850,-6722,-2162,0.0762,0.8631,0.1726
100098,0,Cash loans,F,Y,Y,1,335000.0,1463000.0,81380.0,1452200.0,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,-13473,-1412,-9594,-2675,0.6966,0.3247,0.7433
100099,0,Cash loans,F,N,Y,0,229000.0,1047500.0,61670.0,933600.0,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,-16589,-2253,-9002,-4332,0.6549,0.7484,0.8776
100100,0,Cash loans,F,Y,Y,0,187000.0,1347500.0,99860.0,1148600.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-21807,-4836,-4507,-2094,0.6117,0.5983,0.9158
100101,0,Revolving loans,F,N,N,2,103000.0,1062500.0,69930.0,915300.0,Family,Working,Secondary / secondary special,Married,House / apartment,-15352,-708,-3492,-2321,0.2618,0.3273,0.0188
100102,0,Cash loans,F,Y,N,0,71000.0,1114500.0,46580.0,1044300.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21719,-5204,-4925,-112,0.8999,0.7787,0.9107
100103,0,Cash loans,F,N,Y,3,608000.0,467500.0,28840.0,407000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-22620,-1763,-1133,-6688,0.3124,0.5694,0.7058
100104,0,Cash loans,F,Y,Y,0,264000.0,486500.0,19800.0,416600.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-13004,-3394,-4865,-6542,0.1531,0.0181,0.089
100105,0,Cash loans,F,N,N,1,79000.0,1184000.0,84230.0,1073800.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-15211,-6024,-7769,-791,0.938,0.0746,0.4003
100106,0,Cash loans,M,N,Y,0,307000.0,476500.0,25320.0,449500.0,Unaccompanied,Working,Higher education,Married,House / apartment,-8577,-2097,-8760,-1315,0.7115,0.7175,0.668
100107,0,Cash loans,M,N,Y,0,238000.0,864000.0,50870.0,748900.0,Family,Working,Higher education,Married,House / apartment,-18203,-6122,-3000,-2363,0.3999,0.4297,0.9093
100108,0,Revolving loans,F,N,Y,0,78000.0,408000.0,29350.0,366000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,-21435,-3285,-9513,-3233,0.8898,0.3912,0.1643
100109,0,Cash loans,M,N,N,0,108000.0,1233500.0,51630.0,1125800.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-24202,-1631,-7666,-50,0.0957,0.1471,0.1301
100110,0,Revolving loans,F,Y,N,0,56000.0,206000.0,9550.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-19015,-4316,-6704,-3495,0.0924,0.1579,0.454
100111,0,Cash loans,F,Y,Y,0,43000.0,1252000.0,70010.0,1159200.0,"Spouse, partner",Working,Higher education,Civil marriage,House / apartment,-15115,-7484,-10936,-143,0.6515,0.7599,0.92
100112,0,Cash loans,F,N,Y,0,217000.0,922000.0,45360.0,795500.0,Family,State servant,Secondary / secondary special,Separated,House / apartment,-7483,-3806,-7365,-3687,0.1773,0.7893,0.9231
100113,1,Cash loans,F,Y,N,1,72000.0,317000.0,16960.0,271700.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-16464,-7359,-11770,-5801,0.8721,0.5364,0.2242
100114,0,Cash loans,F,N,Y,0,282000.0,833500.0,66620.0,773500.0,Unaccompanied,Pensioner,Incomplete higher,Single / not married,Municipal apartment,-9688,-4602,-6632,-2575,0.7999,0.2874,0.3102
100115,0,Cash loans,F,N,Y,0,839000.0,456000.0,33300.0,404600.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-11127,-8967,-1767,-5252,0.298,0.8867,0.8636
100116,0,Cash loans,F,Y,Y,0,37000.0,515500.0,38850.0,445500.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,-9797,-9946,-2074,-5618,0.8455,0.5965,0.7008
100117,0,Cash loans,M,N,N,0,121000.0,556500.0,43120.0,508400.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-20862,-5104,-10235,-4485,0.0503,0.7588,0.924
100118,0,Cash loans,F,Y,Y,0,268000.0,137000.0,7350.0,135300.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,-10779,-3644,-1141,-2020,0.5257,0.0131,0.8496
100119,0,Cash loans,F,N,Y,0,258000.0,1479500.0,76760.0,1418300.0,Unaccompanied,State servant,Higher education,Married,House / apartment,-16057,-3918,-1077,-5279,0.8894,0.4333,0.2122
100120,0,Cash loans,M,Y,Y,1,239000.0,91000.0,4490.0,88500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-9235,-8187,-4599,-3730,0.8141,0.8287,0.7241
100121,0,Cash loans,F,N,Y,0,89000.0,1009000.0,73860.0,989600.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-16318,-7182,-6120,-6962,0.3447,0.3279,0.0557
100122,0,Cash loans,F,N,Y,0,116000.0,585000.0,39300.0,582600.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,-18609,-3543,-8343,-748,0.1819,0.693,0.7788
100123,0,Revolving loans,M,N,Y,1,161000.0,985000.0,48710.0,950000.0,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,-24033,-5809,-4832,-6555,0.2079,0.6282,0.5755
100124,0,Cash loans,M,Y,Y,1,572000.0,563500.0,31040.0,530400.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-23782,-1147,-8670,-5806,0.4936,0.1531,0.9087
100125,0,Revolving loans,M,Y,Y,0,85000.0,1025500.0,61810.0,927900.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-9104,-9623,-11425,-5703,0.571,0.7384,0.9124
100126,0,Cash loans,M,Y,Y,1,410000.0,1106000.0,67600.0,970200.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-16552,-2760,-1685,-6527,0.0408,0.1158,0.0578
100127,0,Cash loans,M,N,Y,0,72000.0,1050000.0,79330.0,1000600.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-19001,-8030,-3491,-874,0.3987,0.6942,0.1609
100128,0,Cash loans,M,N,N,1,702000.0,211000.0,11650.0,210800.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,-11470,-7158,-1371,-2944,0.7906,0.9415,0.4652
100129,0,Cash loans,F,N,N,0,191000.0,1001000.0,76420.0,921000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-24085,-6366,-5459,-4803,0.4277,0.9105,0.8367
100130,0,Cash loans,F,N,Y,0,118000.0,452500.0,26090.0,433700.0,Unaccompanied,Working,Lower secondary,Civil marriage,House / apartment,-15679,-9055,-10793,-1208,0.169,0.7622,0.7756
100131,0,Cash loans,F,N,N,3,168000.0,87000.0,6080.0,80400.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-19476,-8177,-3423,-3733,0.9076,0.5124,0.9165
